strike,market_bid,market_ask,model_price,implied_vol,delta,gamma,vega,theta_daily,rho
7540.0,193.9,213.7,217.87,0.1426,0.7686,0.001182,549.1074,-2.3699,312.8407
7610.0,150.8,151.8,155.43,0.1227,0.7008,0.001566,626.1527,-2.3021,287.6124
7620.0,143.5,144.4,147.84,0.1215,0.6863,0.001614,639.3863,-2.3161,281.9199
7640.0,129.1,130.0,133.07,0.1191,0.6557,0.00171,663.9164,-2.3349,269.7958
7680.0,102.2,103.2,105.53,0.1146,0.5875,0.001881,702.2287,-2.3335,242.4783
7700.0,89.9,90.9,92.86,0.1124,0.5502,0.001948,713.9764,-2.3092,227.3993
7720.0,78.5,79.4,81.0,0.1104,0.511,0.002,719.4603,-2.2669,211.5088
7725.0,75.7,76.6,78.12,0.1098,0.501,0.002011,719.7472,-2.2521,207.4271
7730.0,73.0,73.9,75.33,0.1093,0.4909,0.00202,719.5747,-2.2371,203.3034
7740.0,67.8,68.7,69.96,0.1084,0.4704,0.002032,717.81,-2.2046,194.9556
7750.0,62.8,63.7,64.8,0.1075,0.4497,0.002039,714.09,-2.1667,186.4918
7760.0,58.1,59.0,59.94,0.1067,0.4289,0.002038,708.3827,-2.1259,177.9699
7770.0,53.6,54.5,55.29,0.1059,0.4081,0.002031,700.6467,-2.0798,169.3975
7775.0,51.4,52.3,53.02,0.1054,0.3976,0.002026,695.9943,-2.0541,165.0861
7780.0,49.3,50.2,50.85,0.1051,0.3871,0.002018,690.8606,-2.0285,160.7975
7790.0,45.2,46.1,46.62,0.1042,0.3662,0.001999,679.0205,-1.972,152.1944
7820.0,34.4,35.2,35.38,0.102,0.3048,0.001901,631.9019,-1.7806,126.8445
7825.0,32.9,33.7,33.83,0.1019,0.2952,0.001876,622.8261,-1.7498,122.8752
7850.0,25.5,26.3,26.23,0.1001,0.247,0.001746,569.7578,-1.5634,102.9162
7875.0,19.7,20.2,19.98,0.0986,0.2025,0.001584,509.0952,-1.3678,84.4884
7900.0,14.8,15.6,15.28,0.098,0.1646,0.0014,447.2907,-1.1879,68.7113
7925.0,11.2,11.8,11.43,0.0973,0.131,0.00121,383.7496,-1.0066,54.7106
7950.0,8.2,8.8,8.42,0.0967,0.1023,0.001022,322.1042,-0.8357,42.7768
7975.0,6.0,6.6,6.22,0.0966,0.0795,0.000849,267.1343,-0.6896,33.2645
8050.0,2.45,2.8,2.51,0.0979,0.0361,0.000448,142.9938,-0.3701,15.1087
8075.0,1.85,2.2,1.94,0.0993,0.0284,0.000362,117.3133,-0.3072,11.8899
8100.0,1.45,1.75,1.52,0.101,0.0225,0.000294,96.6169,-0.2565,9.4322
8125.0,1.15,1.45,1.24,0.1032,0.0184,0.000242,81.4494,-0.2205,7.7111
8400.0,0.2,0.4,0.3,0.1344,0.004,4.8e-05,21.2284,-0.0735,1.6603
